millis;stamp;datetime;temp;flame_detect
572999;1497825775;28/09/2018 13:42;18.2;0
573999;1497825776;28/09/2018 13:42;18.2;0
574999;1497825777;28/09/2018 13:42;18.2;0
575998;1497825778;28/09/2018 13:42;18.2;0
576999;1497825779;28/09/2018 13:42;18.2;0
578000;1497825780;28/09/2018 13:42;18.2;0
578999;1497825781;28/09/2018 13:42;18.2;0
579999;1497825782;28/09/2018 13:42;18.2;0
580999;1497825783;28/09/2018 13:42;18.2;0
581999;1497825784;28/09/2018 13:42;18.2;0
582999;1497825785;28/09/2018 13:42;18.2;0
583999;1497825786;28/09/2018 13:42;18.2;0
584999;1497825787;28/09/2018 13:42;18.2;0
585999;1497825788;28/09/2018 13:42;18.2;0
586999;1497825789;28/09/2018 13:42;18.2;0
587999;1497825790;28/09/2018 13:42;18.2;0
588998;1497825791;28/09/2018 13:42;18.2;0
589999;1497825792;28/09/2018 13:42;18.2;0
590999;1497825793;28/09/2018 13:42;18.2;0
591998;1497825794;28/09/2018 13:42;18.2;0
592999;1497825795;28/09/2018 13:42;18.2;0
593998;1497825796;28/09/2018 13:42;18.2;0
595000;1497825797;28/09/2018 13:42;18.2;0
595999;1497825798;28/09/2018 13:42;18.2;0
596999;1497825799;28/09/2018 13:42;18.2;0
597999;1497825800;28/09/2018 13:43;18.2;0
598999;1497825801;28/09/2018 13:43;18.2;0
599999;1497825802;28/09/2018 13:43;18.2;0
600999;1497825803;28/09/2018 13:43;18.2;0
601999;1497825804;28/09/2018 13:43;18.2;0
602999;1497825805;28/09/2018 13:43;18.2;0
603999;1497825806;28/09/2018 13:43;18.2;0
604999;1497825807;28/09/2018 13:43;18.2;0
605999;1497825808;28/09/2018 13:43;18.2;0
606998;1497825809;28/09/2018 13:43;18.2;0
608000;1497825810;28/09/2018 13:43;18.2;0
608999;1497825811;28/09/2018 13:43;18.2;0
610000;1497825812;28/09/2018 13:43;18.2;0
610999;1497825813;28/09/2018 13:43;18.2;0
612000;1497825814;28/09/2018 13:43;18.2;0
612999;1497825815;28/09/2018 13:43;18.2;0
614000;1497825816;28/09/2018 13:43;18.2;0
614999;1497825817;28/09/2018 13:43;18.2;0
616000;1497825818;28/09/2018 13:43;18.2;0
616999;1497825819;28/09/2018 13:43;18.1;0
618000;1497825820;28/09/2018 13:43;18.1;0
618999;1497825821;28/09/2018 13:43;18.2;0
620000;1497825822;28/09/2018 13:43;18.2;0
620999;1497825823;28/09/2018 13:43;18.1;0
622000;1497825824;28/09/2018 13:43;18.1;0
623000;1497825825;28/09/2018 13:43;18.1;0
623998;1497825826;28/09/2018 13:43;18.1;0
624999;1497825827;28/09/2018 13:43;18.1;0
625999;1497825828;28/09/2018 13:43;18.2;0
626999;1497825829;28/09/2018 13:43;18.2;0
627999;1497825830;28/09/2018 13:44;18.1;0
628999;1497825831;28/09/2018 13:44;18.1;0
629998;1497825832;28/09/2018 13:44;18.1;0
631000;1497825833;28/09/2018 13:44;18.1;0
631999;1497825834;28/09/2018 13:44;18.1;0
632998;1497825835;28/09/2018 13:44;18.1;0
633999;1497825836;28/09/2018 13:44;18.1;0
634998;1497825837;28/09/2018 13:44;18.1;0
635999;1497825838;28/09/2018 13:44;18.1;0
636998;1497825839;28/09/2018 13:44;18.1;0
637999;1497825840;28/09/2018 13:44;18.1;0
638999;1497825841;28/09/2018 13:44;18.1;0
639998;1497825842;28/09/2018 13:44;18.1;0
640999;1497825843;28/09/2018 13:44;18.1;0
641999;1497825844;28/09/2018 13:44;18.1;0
642999;1497825845;28/09/2018 13:44;18.1;0
643999;1497825846;28/09/2018 13:44;18.1;0
644999;1497825847;28/09/2018 13:44;18.1;0
